"symbol","name","price"
"A1RG34.SA","argenx SE","143.22"
"PYPL34.SA","PayPal Holdings, Inc.","11.79"
"A1MP34.SA","Ameriprise Financial, Inc.","590.79"
"C1MG34.SA","Chipotle Mexican Grill, Inc.","8.44"
"AIGB34.SA","American International Group, Inc.","393.12"
"M1SC34.SA","MSCI Inc.","64.49"
"DEOP34.SA","Diageo plc","21.36"
"EBAY34.SA","eBay Inc.","232.81"
"JDCO34.SA","JD.com, Inc.","25.92"
"ARMT34.SA","ArcelorMittal S.A.","138.95"
"I1CE34.SA","Intercontinental Exchange, Inc.","412.00"
"C1BR34.SA","CBRE Group, Inc.","704.37"
"S1YY34.SA","Sysco Corporation","215.83"
"V1TA34.SA","Ventas, Inc.","217.58"
"R1OP34.SA","Roper Technologies, Inc.","184.45"
"BIDU34.SA","Baidu, Inc.","43.08"
"H1EI34.SA","HEICO Corporation","146.30"
"R2BL34.SA","Roblox Corporation","28.62"
"WEGE3.SA","WEG S.A.","48.18"
"N1UE34.SA","Nucor Corporation","71.99"
"O1DF34.SA","Old Dominion Freight Line, Inc.","48.00"
"E1RI34.SA","Telefonaktiebolaget LM Ericsson (publ)","29.58"
"G1FI34.SA","Gold Fields Limited","110.90"
"T1TW34.SA","Take-Two Interactive Software, Inc.","264.43"
"T1SS34.SA","Tenaris S.A.","150.15"
"P1UK34.SA","Prudential plc","38.89"
"X1YZ34.SA","Block, Inc.","12.58"
"L1VS34.SA","Las Vegas Sands Corp.","57.48"
"BBDC4.SA","Banco Bradesco S.A.","19.28"
"BPAC11.SA","Banco BTG Pactual S.A.","56.68"
"BBDC3.SA","Banco Bradesco S.A.","16.69"
"K1BF34.SA","KB Financial Group Inc.","132.65"
"M1CH34.SA","Microchip Technology Incorporated","173.07"
"C1CL34.SA","Carnival Corporation & plc","134.42"
"V1OD34.SA","Vodafone Group Public Limited Company","38.64"
"A1DM34.SA","Archer-Daniels-Midland Company","372.60"
"T1EV34.SA","Teva Pharmaceutical Industries Limited","77.52"
"R1MD34.SA","ResMed Inc.","303.59"
"C1CI34.SA","Crown Castle Inc.","100.95"
"D1VN34.SA","Devon Energy Corporation","263.00"
"C1HT34.SA","Chunghwa Telecom Co., Ltd.","55.96"
"P1DT34.SA","Prudential Financial, Inc.","249.75"
"A1GI34.SA","Agilent Technologies, Inc.","302.05"
"KMBB34.SA","Kimberly-Clark Corporation","521.92"
"GEHC34.SA","GEHEALTHCAREDRN","47.07"
"I1XC34.SA","ORIX Corporation","19.66"
"W1DA34.SA","Workday, Inc.","41.58"
"P1AY34.SA","Paychex, Inc.","237.84"
"HOND34.SA","Honda Motor Co., Ltd.","130.65"
"N1RG34.SA","NRG Energy, Inc.","793.48"
"HALI34.SA","Halliburton Company","201.20"
"E1CO34.SA","Ecopetrol S.A.","38.96"
"O1TI34.SA","Otis Worldwide Corporation","42.80"
"C1PR34.SA","Copart, Inc.","86.49"
"H1PE34.SA","Hewlett Packard Enterprise Company","115.55"
"I1RM34.SA","Iron Mountain Incorporated","524.70"
"F1IS34.SA","Fiserv, Inc.","152.68"
"U1AL34.SA","United Airlines Holdings, Inc.","244.01"
"ITSA4.SA","Itaúsa S.A.","13.69"
"V2EE34.SA","Veeva Systems Inc.","30.89"
"ITSA3.SA","Itaúsa S.A.","13.54"
"EXGR34.SA","Expedia Group, Inc.","611.00"
"D1OW34.SA","Dow Inc.","51.73"
"T1EC34.SA","TechnipFMC plc","368.20"
"STMN34.SA","STMicroelectronics N.V.","164.50"
"I1QV34.SA","IQVIA Holdings Inc.","217.13"
"CHCM34.SA","Charter Communications, Inc.","18.94"
"AXIA6.SA","AXIA Energia SA","64.15"
"SANB11.SA","Banco Santander (Brasil) S.A.","30.12"
"BIIB34.SA","Biogen Inc.","160.16"
"STZB34.SA","Constellation Brands, Inc.","202.41"
"A1WK34.SA","American Water Works Company, Inc.","179.11"
"ELCI34.SA","The Estée Lauder Companies Inc.","15.98"
"KLBN11.SA","Klabin S.A.","19.45"
"C1OG34.SA","Coterra Energy Inc.","181.26"
"BBAS3.SA","Banco do Brasil S.A.","23.86"
"DGCO34.SA","Dollar General Corporation","25.47"
"R1OL34.SA","Rollins, Inc.","282.24"
"F1NI34.SA","Fidelity National Information Services, Inc.","15.64"
"D1EX34.SA","DexCom, Inc.","6.99"
"KHCB34.SA","The Kraft Heinz Company","27.94"
"E1SE34.SA","Eversource Energy","176.00"
"AXIA3.SA","AXIA Energia SA","58.74"
"VIVT3.SA","Telefônica Brasil S.A.","41.32"
"W1RB34.SA","W. R. Berkley Corporation","34.38"
"L1YB34.SA","LyondellBasell Industries N.V.","198.55"
"D1RI34.SA","Darden Restaurants, Inc.","264.94"
"MKLC34.SA","Markel Group Inc.","495.00"
"T1SC34.SA","Tractor Supply Company","13.33"
"U2TH34.SA","United Therapeutics Corporation","143.91"
"P1PG34.SA","PPG Industries, Inc.","279.72"
"S1YF34.SA","Synchrony Financial","347.80"
"O1MC34.SA","Omnicom Group Inc.","198.04"
"E1QR34.SA","Equity Residential","152.14"
"A1VB34.SA","AvalonBay Communities, Inc.","214.80"
"Z1OM34.SA","Zoom Communications, Inc.","16.38"
"C1FI34.SA","CF Industries Holdings, Inc.","665.31"
"L1EN34.SA","Lennar Corporation","478.11"
"U1LT34.SA","Ulta Beauty, Inc.","132.11"
"H1UM34.SA","Humana Inc.","21.40"
"B1NT34.SA","BioNTech SE","28.74"
"NMRH34.SA","Nomura Holdings, Inc.","39.52"
"SANB4.SA","Banco Santander (Brasil) S.A.","15.24"
"A1LB34.SA","Albemarle Corporation","40.03"
"SANB3.SA","Banco Santander (Brasil) S.A.","14.92"
"FSLR34.SA","First Solar, Inc.","512.03"
"M1RN34.SA","Moderna, Inc.","13.75"
"S1OU34.SA","Southwest Airlines Co.","210.99"
"N1TA34.SA","NetApp, Inc.","552.08"
"R1LC34.SA","Ralph Lauren Corporation","907.78"
"SBSP3.SA","Companhia de Saneamento Básico do Estado de São Paulo - SABESP","156.33"
"L1DO34.SA","Leidos Holdings, Inc.","83.18"
"M1DB34.SA","MongoDB, Inc.","64.31"
"C1HR34.SA","C.H. Robinson Worldwide, Inc.","45.50"
"P1KG34.SA","Packaging Corporation of America","557.76"
"I1HG34.SA","InterContinental Hotels Group PLC","116.83"
"T1WL34.SA","Twilio Inc.","26.60"
"E1VR34.SA","Evergy, Inc.","212.46"
"J1BH34.SA","J.B. Hunt Transport Services, Inc.","31.92"
"G1PI34.SA","Global Payments Inc.","91.17"
"S1NA34.SA","Snap-on Incorporated","475.25"
"B1RF34.SA","Broadridge Financial Solutions, Inc.","214.19"
"Z1TO34.SA","ZTO Express (Cayman) Inc.","32.88"
"G1MI34.SA","General Mills, Inc.","186.80"
"I1LM34.SA","Illumina, Inc.","129.11"
"W2ST34.SA","West Pharmaceutical Services, Inc.","35.76"
"L1UL34.SA","lululemon athletica inc.","207.00"
"I1NC34.SA","Incyte Corporation","240.72"
"A1CR34.SA","Amcor plc","206.40"
"T1LK34.SA","Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk","47.82"
"I1PC34.SA","International Paper Company","178.58"
"HPQB34.SA","HP Inc.","101.51"
"HSRE11.SA","Hsi Renda Imobiliario - Fundo De Investimento Imobiliario","106.00"
"C1NC34.SA","Centene Corporation","178.00"
"N1VR34.SA","NVR, Inc.","670.50"
"T1AM34.SA","Atlassian Corporation","17.48"
"C1GP34.SA","CoStar Group, Inc.","2.16"
"JBSS32.SA","JBS N.V.","81.80"
"A1KA34.SA","Akamai Technologies, Inc.","51.90"
"B3SA3.SA","B3 S.A. - Brasil, Bolsa, Balcão","18.00"
"W1YC34.SA","Weyerhaeuser Company","121.80"
"Y2PF34.SA","YPF Sociedad Anónima","222.42"
"RDOR3.SA","Rede D'Or São Luiz S.A.","39.42"
"S2UI34.SA","Sun Communities, Inc.","33.49"
"H1II34.SA","Huntington Ingalls Industries, Inc.","28.72"
"AZUL53.SA","AZUL        ON  P   N2","240.00"
"C1HK34.SA","Check Point Software Technologies Ltd.","373.53"
"E1SS34.SA","Essex Property Trust, Inc.","128.83"
"H1TH34.SA","H World Group Limited","64.82"
"APTV34.SA","Aptiv PLC","185.77"
"N1WS35.SA","News Corporation","71.61"
"C1DW34.SA","CDW Corporation","30.54"
"H1AS34.SA","Hasbro, Inc.","260.77"
"W1SO34.SA","Watsco, Inc.","76.00"
"B1SA34.SA","Banco Santander-Chile","84.60"
"A1PA34.SA","APA Corporation","215.46"
"G1PC34.SA","Genuine Parts Company","270.27"
"I1EX34.SA","IDEX Corporation","50.20"
"A1SN34.SA","Ascendis Pharma A/S","76.05"
"R1KU34.SA","Roku, Inc.","25.15"
"O1KT34.SA","Okta, Inc.","20.33"
"M1KC34.SA","McCormick & Company, Incorporated","68.00"
"CLXC34.SA","The Clorox Company","138.00"
"S1NN34.SA","Smith & Nephew plc","34.05"
"H1ST34.SA","Host Hotels & Resorts, Inc.","101.44"
"A1GN34.SA","Allegion plc","380.01"
"N1BI34.SA","Neurocrine Biosciences, Inc.","34.17"
"BBYY34.SA","Best Buy Co., Inc.","318.30"
"BBSE3.SA","BB Seguridade Participações S.A.","34.83"
"H2UB34.SA","HubSpot, Inc.","25.35"
"W1MG34.SA","Warner Music Group Corp.","31.95"
"A1LG34.SA","Align Technology, Inc.","228.62"
"TSNC11.SA","Transinc Fundo","60.00"
"H1RL34.SA","Hormel Foods Corporation","118.44"
"TIMS3.SA","TIM S.A.","27.28"
"P2IN34.SA","Pinterest, Inc.","16.61"
"D2PZ34.SA","Domino's Pizza, Inc.","38.12"
"SUZB3.SA","Suzano S.A.","51.40"
"S1YM34.SA","Gen Digital Inc.","102.19"
"G2DD34.SA","GoDaddy Inc.","44.00"
"U1HS34.SA","Universal Health Services, Inc.","241.75"
"R1DY34.SA","Dr. Reddy's Laboratories Limited","11.82"
"S1KM34.SA","SK Telecom Co., Ltd.","37.40"
"I1VZ34.SA","Invesco Ltd.","126.24"
"A1EG34.SA","Aegon Ltd.","36.56"
"D2KN34.SA","DraftKings Inc.","18.75"
"B1FC34.SA","Brown-Forman Corporation","120.36"
"Z2LL34.SA","Zillow Group, Inc.","19.14"
"K1TC34.SA","KT Corporation","114.17"
"EMBJ3.SA","Embraer S.A.","77.17"
"T2TD34.SA","The Trade Desk, Inc.","1.15"
"PRIO3.SA","Prio S.A.","67.28"
"C2PT34.SA","Camden Property Trust","35.04"
"CPFE3.SA","CPFL Energia S.A.","47.12"
"DVAI34.SA","DaVita Inc.","809.51"
"PSKY34.SA","PARA SKYDNC DRN ED","48.56"
"XPBR31.SA","XP Inc.","103.84"
"W2YF34.SA","Wayfair Inc.","11.67"
"CXSE3.SA","Caixa Seguridade Participações S.A.","17.77"
"EQTL3.SA","Equatorial S.A.","42.21"
"A1ES34.SA","The AES Corporation","74.41"
"B1IL34.SA","Bilibili Inc.","24.78"
"RENT3.SA","Localiza Rent a Car S.A.","47.59"
"R1VT34.SA","Revvity, Inc.","16.00"
"BOXP34.SA","BXP, Inc.","27.84"
"E1DU34.SA","New Oriental Education & Technology Group Inc.","19.44"
"ENEV3.SA","Eneva S.A.","25.22"
"GPSI34.SA","The Gap, Inc.","129.69"
"N1CL34.SA","Norwegian Cruise Line Holdings Ltd.","104.90"
"D2AR34.SA","Darling Ingredients Inc.","37.48"
"CMIG3.SA","Companhia Energética de Minas Gerais - CEMIG","16.60"
"A1DC34.SA","AGREE REALTYDRN","48.65"
"G1DS34.SA","GDS Holdings Limited","23.50"
"D1OC34.SA","DocuSign, Inc.","12.05"
"CPLE3.SA","Companhia Paranaense de Energia - COPEL","15.36"
"B1AX34.SA","Baxter International Inc.","43.36"
"P2CO34.SA","Procore Technologies, Inc.","29.94"
"T1CH34.SA","Bio-Techne Corporation","9.38"
"S1BS34.SA","Sibanye Stillwater Limited","30.84"
"A1TH34.SA","Autohome Inc.","9.21"
"MOSC34.SA","The Mosaic Company","22.60"
"N1OV34.SA","NOV Inc.","102.00"
"RADL3.SA","Raia Drogasil S.A.","24.46"
"J1EF34.SA","Jefferies Financial Group Inc.","202.60"
"E1MN34.SA","Eastman Chemical Company","185.08"
"A1RE34.SA","Alexandria Real Estate Equities, Inc.","60.52"
"M1CB34.SA","Molson Coors Beverage Company","220.00"
"NEOE3.SA","Neoenergia S.A.","33.25"
"U2ST34.SA","Unity Software Inc.","4.64"
"RIGG34.SA","Transocean Ltd.","35.75"
"CMIG4.SA","Companhia Energética de Minas Gerais - CEMIG","12.46"
"M1TC34.SA","Match Group, Inc.","8.21"
"VBBR3.SA","Vibra Energia S.A.","31.72"
"C1AG34.SA","Conagra Brands, Inc.","79.04"
"N1IC34.SA","NICE Ltd.","25.00"
"LBRD34.SA","Liberty Broadband Corporation","21.56"
"EGIE3.SA","Engie Brasil Energia S.A.","32.45"
"AALL34.SA","American Airlines Group Inc.","55.96"
"L1MN34.SA","Lumen Technologies, Inc.","35.83"
"C1NS34.SA","Celanese Corporation","163.19"
"GGBR4.SA","Gerdau S.A.","18.46"
"D2OX34.SA","Amdocs Limited","42.36"
"S2TA34.SA","STAG Industrial, Inc.","37.84"
"T1AL34.SA","TAL Education Group","5.86"
"M1KT34.SA","MarketAxess Holdings Inc.","18.21"
"VLYB34.SA","Valley National Bancorp","62.16"
"P1YC34.SA","Paycom Software, Inc.","20.76"
"M1HK34.SA","Mohawk Industries, Inc.","20.90"
"GGBR3.SA","Gerdau S.A.","16.55"
"C1PB34.SA","The Campbell's Company","109.00"
"C2HD34.SA","Churchill Downs Incorporated","22.60"
"P2LN34.SA","Planet Fitness, Inc.","48.45"
"PSSA3.SA","Porto Seguro S.A.","49.76"
"ENGI3.SA","Energisa S.A.","12.65"
"MOTV3.SA","Motiva Infraestrutura de Mobilidade S.A.","15.73"
"AURA33.SA","Aura Minerals Inc.","124.96"
"RAIL3.SA","Rumo S.A.","16.61"
"UGPA3.SA","Ultrapar Participações S.A.","28.46"
"P2AT34.SA","UiPath, Inc.","7.11"
"L1WH34.SA","Lamb Weston Holdings, Inc.","105.88"
"E2ST34.SA","Elastic N.V.","21.81"
"MBRF3.SA","MBRF Global Foods Company S.A.","19.75"
"W1IX34.SA","Wix.com Ltd.","15.52"
"CMIN3.SA","CSN Mineração S.A.","4.99"
"MACY34.SA","Macy's, Inc.","96.79"
"ENGI4.SA","Energisa S.A.","9.78"
"KLBN4.SA","Klabin S.A.","3.92"
